=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-D-n701/Vrp-Set-D-n701-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 86 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 700 CLIENTS AND 86 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It  34500   2191 | T(s) 308.23 | Feas 38 39556.84 39592.62 | Inf 59 39549.75 39623.26 | Div 0.13 0.14 | Feas 0.00 1.00 | Pen 12.12 0.10
It  35000   2691 | T(s) 312.18 | Feas 56 39556.84 39559.75 | Inf 53 39550.58 39590.39 | Div 0.07 0.17 | Feas 0.17 1.00 | Pen 12.36 0.10
It  35500   3191 | T(s) 316.04 | Feas 25 39556.84 39561.40 | Inf 54 39555.99 39598.36 | Div 0.09 0.16 | Feas 0.01 1.00 | Pen 12.61 0.10
It  36000   3691 | T(s) 320.10 | Feas 34 39556.84 39557.95 | Inf 62 39459.38 39533.33 | Div 0.06 0.19 | Feas 0.30 1.00 | Pen 11.15 0.10
It  36500   4191 | T(s) 325.08 | Feas 36 39556.84 39559.45 | Inf 32 39507.16 39589.49 | Div 0.07 0.20 | Feas 0.27 1.00 | Pen 11.60 0.10
It  37000    319 | T(s) 329.05 | Feas 49 39556.74 39562.23 | Inf 40 39556.24 39637.00 | Div 0.10 0.18 | Feas 0.00 1.00 | Pen 12.07 0.10
It  37500    819 | T(s) 333.44 | Feas 34 39556.74 39565.55 | Inf 35 39553.13 39727.12 | Div 0.10 0.22 | Feas 0.14 1.00 | Pen 14.49 0.10
It  38000   1319 | T(s) 337.13 | Feas 62 39556.74 39561.97 | Inf 65 39553.80 39605.39 | Div 0.08 0.18 | Feas 0.00 1.00 | Pen 12.56 0.10
It  38500   1819 | T(s) 341.13 | Feas 42 39556.74 39557.81 | Inf 61 39554.71 39568.93 | Div 0.06 0.11 | Feas 0.20 1.00 | Pen 12.81 0.10
It  39000   2319 | T(s) 345.18 | Feas 32 39556.74 39570.43 | Inf 65 39552.21 39568.15 | Div 0.09 0.09 | Feas 0.18 1.00 | Pen 13.33 0.10
It  39500   2819 | T(s) 349.11 | Feas 42 39556.74 39560.23 | Inf 59 39546.36 39566.43 | Div 0.07 0.12 | Feas 0.28 1.00 | Pen 11.56 0.10
It  40000   3319 | T(s) 352.72 | Feas 34 39556.74 39562.94 | Inf 53 39546.31 39562.59 | Div 0.09 0.10 | Feas 0.28 1.00 | Pen 11.79 0.10
It  40500   3819 | T(s) 356.27 | Feas 36 39556.74 39561.69 | Inf 58 39542.47 39555.23 | Div 0.09 0.10 | Feas 0.20 1.00 | Pen 12.02 0.10
It  41000   4319 | T(s) 360.18 | Feas 58 39556.74 39557.50 | Inf 65 39553.58 39592.04 | Div 0.05 0.16 | Feas 0.16 1.00 | Pen 12.51 0.10
It  41500   4819 | T(s) 364.00 | Feas 43 39556.74 39557.24 | Inf 53 39554.38 39586.65 | Div 0.05 0.14 | Feas 0.21 1.00 | Pen 12.76 0.10
It  42000   5319 | T(s) 367.77 | Feas 53 39556.74 39557.77 | Inf 25 39554.59 39605.92 | Div 0.05 0.19 | Feas 0.17 1.00 | Pen 13.01 0.10
It  42500     54 | T(s) 371.29 | Feas 59 39556.23 39557.03 | Inf 47 39554.12 39558.19 | Div 0.04 0.08 | Feas 0.25 1.00 | Pen 13.27 0.10
It  43000    554 | T(s) 374.79 | Feas 29 39556.23 39560.52 | Inf 65 39545.24 39569.38 | Div 0.09 0.12 | Feas 0.29 1.00 | Pen 11.51 0.10
It  43500   1054 | T(s) 378.26 | Feas 32 39556.23 39566.66 | Inf 28 39546.09 39557.79 | Div 0.12 0.13 | Feas 0.25 1.00 | Pen 11.97 0.10
It  44000   1554 | T(s) 382.09 | Feas 38 39556.23 39557.92 | Inf 63 39540.93 39564.76 | Div 0.06 0.16 | Feas 0.16 1.00 | Pen 11.97 0.10
It  44500   2054 | T(s) 386.16 | Feas 55 39556.23 39557.00 | Inf 54 39555.07 39600.31 | Div 0.05 0.18 | Feas 0.21 1.00 | Pen 12.46 0.10
It  45000   2554 | T(s) 390.17 | Feas 32 39556.23 39557.94 | Inf 49 39553.97 39594.13 | Div 0.07 0.15 | Feas 0.32 1.00 | Pen 12.96 0.10
It  45500   3054 | T(s) 393.89 | Feas 26 39556.23 39565.50 | Inf 65 39551.11 39613.95 | Div 0.11 0.17 | Feas 0.20 1.00 | Pen 13.48 0.10
It  46000    182 | T(s) 397.31 | Feas 31 39551.97 39571.36 | Inf 56 39548.50 39557.62 | Div 0.12 0.09 | Feas 0.01 1.00 | Pen 14.03 0.10
It  46500    285 | T(s) 401.10 | Feas 29 39551.32 39587.60 | Inf 53 39549.87 39568.87 | Div 0.17 0.13 | Feas 0.13 1.00 | Pen 17.17 0.10
It  47000    785 | T(s) 404.67 | Feas 52 39551.32 39564.50 | Inf 36 39549.87 39557.89 | Div 0.10 0.10 | Feas 0.21 1.00 | Pen 17.17 0.10
It  47500   1285 | T(s) 408.02 | Feas 43 39551.32 39555.02 | Inf 42 39545.10 39547.77 | Div 0.07 0.07 | Feas 0.29 1.00 | Pen 12.41 0.10
It  48000   1785 | T(s) 411.75 | Feas 41 39551.32 39558.06 | Inf 49 39553.51 39596.96 | Div 0.10 0.19 | Feas 0.20 1.00 | Pen 15.19 0.10
It  48500   2285 | T(s) 415.42 | Feas 50 39551.32 39552.05 | Inf 34 39550.12 39634.15 | Div 0.04 0.22 | Feas 0.25 1.00 | Pen 13.17 0.10
It  49000   2785 | T(s) 418.94 | Feas 53 39551.32 39553.26 | Inf 42 39543.91 39558.23 | Div 0.06 0.13 | Feas 0.26 1.00 | Pen 11.19 0.10
It  49500   3285 | T(s) 422.38 | Feas 26 39551.32 39553.77 | Inf 61 39544.61 39547.27 | Div 0.08 0.06 | Feas 0.20 1.00 | Pen 13.70 0.10
It  50000   3785 | T(s) 425.69 | Feas 56 39551.32 39551.88 | Inf 40 39540.96 39545.18 | Div 0.04 0.07 | Feas 0.23 1.00 | Pen 11.88 0.10
It  50500   4285 | T(s) 429.31 | Feas 58 39551.32 39551.67 | Inf 27 39531.64 39582.64 | Div 0.04 0.22 | Feas 0.19 1.00 | Pen 11.88 0.10
It  51000   4785 | T(s) 433.20 | Feas 26 39551.32 39553.51 | Inf 53 39432.71 39536.93 | Div 0.08 0.19 | Feas 0.26 1.00 | Pen 10.30 0.10
It  51500   5285 | T(s) 437.35 | Feas 35 39551.32 39553.81 | Inf 60 39541.92 39555.93 | Div 0.08 0.10 | Feas 0.22 1.00 | Pen 12.36 0.10
It  52000   5785 | T(s) 441.00 | Feas 32 39551.32 39553.94 | Inf 52 39545.30 39580.64 | Div 0.07 0.16 | Feas 0.20 1.00 | Pen 12.60 0.10
It  52500   6285 | T(s) 444.84 | Feas 61 39551.32 39552.23 | Inf 44 39548.95 39588.02 | Div 0.05 0.17 | Feas 0.21 1.00 | Pen 12.86 0.10
It  53000   6785 | T(s) 448.70 | Feas 47 39551.32 39553.42 | Inf 60 39547.02 39636.30 | Div 0.06 0.15 | Feas 0.01 1.00 | Pen 13.37 0.10
It  53500   7285 | T(s) 452.01 | Feas 42 39551.32 39553.43 | Inf 36 39539.95 39552.67 | Div 0.07 0.11 | Feas 0.30 1.00 | Pen 11.37 0.10
It  54000   7785 | T(s) 455.37 | Feas 32 39551.32 39553.87 | Inf 50 39540.87 39545.72 | Div 0.08 0.08 | Feas 0.26 1.00 | Pen 11.83 0.10
It  54500   8285 | T(s) 459.54 | Feas 64 39551.32 39551.65 | Inf 52 39524.17 39565.76 | Div 0.04 0.18 | Feas 0.24 1.00 | Pen 12.06 0.10
It  55000   8785 | T(s) 463.70 | Feas 32 39551.32 39558.42 | Inf 59 39552.70 39616.73 | Div 0.10 0.19 | Feas 0.23 1.00 | Pen 14.77 0.10
It  55500   9285 | T(s) 467.46 | Feas 38 39551.32 39553.20 | Inf 39 39428.40 39536.86 | Div 0.07 0.17 | Feas 0.30 1.00 | Pen 10.88 0.10
It  56000   9785 | T(s) 471.52 | Feas 50 39551.32 39552.94 | Inf 25 39549.15 39672.32 | Div 0.06 0.27 | Feas 0.19 1.00 | Pen 13.32 0.10
It  56500  10285 | T(s) 475.32 | Feas 33 39551.32 39555.49 | Inf 27 39554.75 39736.42 | Div 0.09 0.25 | Feas 0.00 1.00 | Pen 13.59 0.10
It  57000  10785 | T(s) 479.08 | Feas 50 39551.32 39553.79 | Inf 36 39549.97 39584.94 | Div 0.06 0.14 | Feas 0.03 1.00 | Pen 14.14 0.10
It  57500  11285 | T(s) 482.67 | Feas 48 39551.32 39552.28 | Inf 62 39543.01 39571.71 | Div 0.05 0.11 | Feas 0.19 1.00 | Pen 12.26 0.10
It  58000  11785 | T(s) 486.88 | Feas 57 39551.32 39552.55 | Inf 26 39562.82 39751.02 | Div 0.06 0.26 | Feas 0.14 1.00 | Pen 15.00 0.10
It  58500  12285 | T(s) 490.75 | Feas 28 39551.32 39553.60 | Inf 65 39551.44 39571.18 | Div 0.07 0.13 | Feas 0.13 1.00 | Pen 15.61 0.10
It  59000  12785 | T(s) 494.18 | Feas 40 39551.32 39553.01 | Inf 49 39549.87 39610.91 | Div 0.06 0.16 | Feas 0.01 1.00 | Pen 13.80 0.10
It  59500  13285 | T(s) 497.52 | Feas 44 39551.32 39551.73 | Inf 42 39545.60 39557.38 | Div 0.04 0.11 | Feas 0.25 1.00 | Pen 14.08 0.10
It  60000  13785 | T(s) 501.23 | Feas 45 39551.32 39551.93 | Inf 34 39537.95 39587.41 | Div 0.05 0.20 | Feas 0.16 1.00 | Pen 12.21 0.10
It  60500  14285 | T(s) 504.95 | Feas 32 39551.32 39557.16 | Inf 35 39547.25 39574.50 | Div 0.09 0.14 | Feas 0.22 1.00 | Pen 14.65 0.10
It  61000  14785 | T(s) 508.35 | Feas 63 39551.32 39551.89 | Inf 49 39547.09 39566.42 | Div 0.05 0.11 | Feas 0.15 1.00 | Pen 14.94 0.10
It  61500  15285 | T(s) 511.55 | Feas 28 39551.32 39558.81 | Inf 57 39467.40 39539.48 | Div 0.09 0.09 | Feas 0.26 1.00 | Pen 10.79 0.10
It  62000  15785 | T(s) 515.60 | Feas 33 39551.32 39558.41 | Inf 40 39566.44 39664.49 | Div 0.09 0.22 | Feas 0.00 1.00 | Pen 13.21 0.10
It  62500  16285 | T(s) 519.31 | Feas 48 39551.32 39555.43 | Inf 43 39544.16 39623.33 | Div 0.08 0.18 | Feas 0.00 1.00 | Pen 13.48 0.10
It  63000  16785 | T(s) 522.49 | Feas 41 39551.32 39552.71 | Inf 61 39540.12 39544.29 | Div 0.06 0.06 | Feas 0.26 1.00 | Pen 11.45 0.10
It  63500  17285 | T(s) 525.91 | Feas 40 39551.32 39552.78 | Inf 30 39544.90 39571.66 | Div 0.06 0.15 | Feas 0.22 1.00 | Pen 14.02 0.10
It  64000  17785 | T(s) 529.58 | Feas 45 39551.32 39554.78 | Inf 64 39541.59 39613.31 | Div 0.09 0.14 | Feas 0.00 1.00 | Pen 12.16 0.10
It  64500  18285 | T(s) 533.18 | Feas 64 39551.32 39551.45 | Inf 36 39545.49 39576.28 | Div 0.04 0.15 | Feas 0.33 1.00 | Pen 12.40 0.10
It  65000  18785 | T(s) 536.74 | Feas 62 39551.32 39551.63 | Inf 33 39558.49 39641.66 | Div 0.05 0.24 | Feas 0.16 1.00 | Pen 12.65 0.10
It  65500  19285 | T(s) 540.41 | Feas 28 39551.32 39564.73 | Inf 28 39548.53 39578.32 | Div 0.10 0.16 | Feas 0.21 1.00 | Pen 12.65 0.10
It  66000  19785 | T(s) 543.68 | Feas 44 39551.32 39552.07 | Inf 35 39543.76 39557.89 | Div 0.05 0.11 | Feas 0.34 1.00 | Pen 10.96 0.10
----- GENETIC ALGORITHM FINISHED AFTER 66217 ITERATIONS. TIME SPENT: 545.202
----- WRITING BEST SOLUTION IN : baseline_results/cvrp_hgs/Vrp-Set-D-n701/Vrp-Set-D-n701-hgs/0.hgs1.tour
